Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/convert,14076,3,4,6.591796089578571,0.6841920003353152,91.64546100146254,77.80228758169935,15.649560244706203,0.003335370896143692,4,5,6,8,17,23,28,31,70,85,92
POST,/convert_ai,14210,1,22,21.97266090541776,2.5705469997774344,102.16263300026185,77.78817733990148,15.798540144733954,0.001111790298714564,22,26,28,28,30,34,38,43,89,100,100
,Aggregated,28286,4,12,14.3186605820157,0.6841920003353152,102.16263300026185,77.79519903839355,31.448100389440157,0.004447161194858256,12,18,23,26,29,31,36,40,86,100,100
