Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1714148531,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1714148532,1,,Aggregated,0.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,1,0,20.412431000295328,20.412431000295328,20.412431000295328,20.412431000295328,78.0
1714148533,2,,Aggregated,0.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,2,0,6.171469001856167,13.291950001075747,6.171469001856167,20.412431000295328,78.0
1714148534,3,,Aggregated,0.000000,0.000000,23,23,26,26,26,26,26,26,26,26,26,4,0,20,18.806323249918933,6.171469001856167,25.757176998013165,78.0
1714148535,4,,Aggregated,1.000000,0.000000,20,23,23,26,26,26,26,26,26,26,26,5,0,20,16.340781400504056,6.171469001856167,25.757176998013165,78.0
1714148536,5,,Aggregated,1.333333,0.000000,20,23,26,30,33,33,33,33,33,33,33,9,0,20,18.534484667422173,4.883983001491288,33.236880000913516,78.0
1714148537,6,,Aggregated,1.250000,0.000000,17,20,26,26,30,33,33,33,33,33,33,12,0,6,15.146535917362295,4.478279999602819,33.236880000913516,77.91666666666667
1714148538,7,,Aggregated,1.250000,0.000000,20,23,26,30,31,33,33,33,33,33,33,14,0,17,16.714465643547424,4.478279999602819,33.236880000913516,77.92857142857143
1714148539,8,,Aggregated,1.600000,0.000000,17,23,26,27,31,33,33,33,33,33,33,17,0,17,16.68278776517528,4.478279999602819,33.236880000913516,77.88235294117646
1714148540,9,,Aggregated,1.666667,0.000000,17,23,26,27,30,31,33,33,33,33,33,22,0,17,15.888807227549313,1.6519309974682983,33.236880000913516,78.0
1714148541,10,,Aggregated,2.125000,0.000000,17,21,25,26,30,31,33,33,33,33,33,26,0,17,15.147343923252684,1.6519309974682983,33.236880000913516,77.96153846153847
1714148542,11,,Aggregated,2.444444,0.000000,17,18,23,25,29,31,33,33,33,33,33,31,0,17,14.66633187115921,1.6519309974682983,33.236880000913516,77.96774193548387
1714148543,12,,Aggregated,2.444444,0.000000,17,18,23,25,29,31,33,33,33,33,33,36,0,17,14.823220528038897,1.6519309974682983,33.236880000913516,77.91666666666667
1714148544,13,,Aggregated,2.800000,0.000000,17,18,23,25,29,31,33,33,33,33,33,39,0,17,14.76869633356378,1.6519309974682983,33.236880000913516,77.92307692307692
1714148545,14,,Aggregated,3.400000,0.000000,17,18,23,25,29,30,33,33,33,33,33,43,0,17,14.72823018614923,1.6519309974682983,33.236880000913516,77.93023255813954
1714148546,15,,Aggregated,3.400000,0.000000,17,17,21,25,29,30,33,33,33,33,33,50,0,16,14.19919578009285,1.6519309974682983,33.236880000913516,77.9
1714148547,16,,Aggregated,3.400000,0.000000,13,17,21,23,29,30,31,33,33,33,33,56,0,11,13.98027487519877,1.2530870008049533,33.236880000913516,77.92857142857143
